file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
gcd, m65, t150, w2, 26721, 572, 21762, 0.769231, 1495, 19, a4, 100001
gcd, m65, t150, w2, 24590, 553, 21183, 1.063830, 1495, 19, a3, 010110
anagram, m60, t100, w2, 10936, 282, 6489, 0.906250, 1370, 37, a5, 110100
anagram, m60, t100, w2, 10362, 328, 7754, 1.575758, 1370, 37, a2, 101111
massive, m49, t60, w2, 56780, 9797, 45527, 0.959184, 169, 13, a5, 100010
genPassword, m49, t100, w2, 9345, 347, 6538, 1.108108, 398, 63, a4, 101110
gcd, m65, t150, w2, 26337, 764, 20752, 1.063830, 1495, 19, a2, 111100
gcd, m65, t150, w2, 15162, 568, 11753, 0.829787, 1495, 19, a5, 000110
add, m12, t100, w2, 1377, 298, 306, 0.916667, 583, 13, a4, 110001
massive, m49, t60, w2, 45816, 9740, 34379, 1.205128, 169, 13, a4, 010110
massive, m49, t60, w2, 57139, 10028, 45435, 1.179487, 169, 13, a3, 100110
anagram, m60, t100, w2, 10591, 262, 6356, 0.878788, 1370, 37, a5, 001101
gcd, m65, t150, w2, 24799, 684, 21365, 1.063830, 1495, 19, a3, 111110
add, m12, t100, w2, 1033, 242, 408, 0.916667, 583, 13, a3, 000011
gcd, m65, t150, w2, 24735, 643, 21177, 1.063830, 1495, 19, a2, 100110
factorial, m31, t100, w2, 27503, 254, 25487, 0.967742, 403, 18, a3, 000000
primes, m68, t100, w2, 43684, 596, 32058, 1.342105, 398, 30, a4, 010101
add, m12, t100, w2, 1301, 279, 309, 0.916667, 583, 13, a2, 010001
anagram, m60, t100, w2, 10019, 279, 7713, 0.866667, 1370, 37, a2, 100010
factorial, m31, t100, w2, 26750, 266, 25534, 0.967742, 403, 18, a3, 010011
add, m12, t100, w2, 1060, 291, 369, 0.916667, 583, 13, a3, 101011
anagram, m60, t100, w2, 11627, 271, 7756, 0.866667, 1370, 37, a4, 001000
factorial, m31, t100, w2, 27615, 258, 25484, 0.967742, 403, 18, a5, 000001
add, m12, t100, w2, 1295, 251, 315, 0.916667, 583, 13, a2, 001001
anagram, m60, t100, w2, 9741, 261, 7501, 0.866667, 1370, 37, a3, 010010
primes, m68, t100, w2, 11454, 565, 6480, 0.842105, 398, 30, a5, 010111
factorial, m31, t100, w2, 27659, 317, 25492, 0.967742, 403, 18, a3, 110001
gcd, m65, t150, w2, 25686, 462, 20949, 0.769231, 1495, 19, a3, 010000
