parg, m1254, t52, w2, 214705, 174, 4412, 219497, 3.5169, 1.0, 418, 2518, a2, 101011
transpose, m49, t50, w8, 1281, 23, 3373, 4901, 67.9262, 0.9054, 903, 40, a2, 101110
factorial, m15, t100, w2, 389, 322, 9767, 10451, 630.129, 0.9677, 403, 18, a3, 101110
parg, m5018, t52, w8, 866428, 21, 2088, 869764, 0.4161, 1.0, 418, 2518, a4, 111010
factorial, m62, t100, w2, 3180, 320, 39160, 43102, 631.6129, 0.9677, 403, 18, a5, 000000
genPassword, m98, t100, w2, 2908, 316, 10764, 14808, 109.8367, 0.8367, 398, 63, a4, 101111
squareMatrix, m364, t50, w8, 9430, 21, 20724, 30370, 56.9341, 1.0, 903, 72, a2, 111011
add, m4, t100, w2, 94, 324, 137, 359, 34.4167, 0.9167, 583, 13, a4, 100011
squareMatrix, m364, t50, w4, 9274, 50, 46298, 55832, 127.1923, 1.0, 903, 72, a5, 100011
maxArrSumNeg, m224, t50, w8, 5264, 21, 20734, 26298, 92.5625, 0.9358, 1910, 63, a2, 110111
insertSort, m54, t50, w4, 1188, 52, 6168, 7418, 114.2315, 0.9444, 1900, 40, a2, 100010
anagram, m30, t100, w2, 805, 323, 4059, 5053, 135.3, 0.8667, 1370, 37, a2, 110011
mergeSort, m452, t50, w2, 21478, 162, 136700, 161158, 302.4336, 0.9336, 1900, 129, a4, 110110
parg, m1254, t52, w2, 219097, 175, 4368, 228621, 3.4819, 1.0, 418, 2518, a2, 010111
dictionaryOrder, m23, t100, w2, 635, 305, 11331, 12184, 478.7887, 0.9265, 8248, 32, a3, 000111
parg, m836, t52, w2, 144563, 175, 2892, 147711, 3.458, 1.0, 418, 2518, a2, 111010
transpose, m49, t50, w4, 1281, 48, 6951, 8275, 139.9597, 0.8993, 903, 40, a4, 101011
huffmanCoding, m157, t50, w8, 9224, 21, 7672, 17457, 48.8662, 0.9279, 1874, 318, a3, 111111
huffmanCoding, m157, t50, w4, 8968, 51, 17189, 26273, 109.4841, 0.9013, 1874, 318, a2, 110010
anagram, m120, t100, w2, 3224, 311, 16224, 20182, 135.2, 0.8667, 1370, 37, a4, 001010
factorial, m10, t100, w2, 261, 327, 6531, 6922, 632.0968, 0.9677, 403, 18, a4, 101010
parg, m5018, t52, w4, 849862, 59, 5166, 862790, 1.0295, 1.0, 418, 2518, a3, 110111
maxArrSumNeg, m56, t50, w4, 1320, 50, 10375, 11818, 185.2768, 0.9358, 1910, 63, a3, 110111
mergeSort, m75, t50, w4, 2267, 151, 7611, 9959, 101.031, 0.9336, 1900, 129, a3, 010011
