parg, m2509, t52, w2, 433024, 174, 8552, 457771, 3.4085, 1.0, 418, 2518, a4, 001110
genPassword, m49, t100, w8, 966, 39, 950, 2018, 19.3878, 0.8367, 398, 63, a3, 100010
huffmanCoding, m314, t50, w4, 18065, 152, 33569, 51971, 106.9076, 0.9013, 1874, 318, a4, 011010
parg, m2509, t52, w4, 427770, 176, 2564, 431125, 1.0219, 1.0, 418, 2518, a2, 000011
parg, m2509, t52, w4, 427419, 174, 2604, 430820, 1.0379, 1.0, 418, 2518, a5, 010011
mergeSort, m226, t50, w2, 10642, 163, 68282, 79181, 302.1327, 0.9336, 1900, 129, a3, 111011
selectSort, m92, t50, w4, 1977, 150, 15008, 17647, 163.1304, 0.9101, 1900, 45, a2, 000110
huffmanCoding, m314, t50, w4, 17906, 49, 34332, 52463, 109.3376, 0.9013, 1874, 318, a3, 111010
parg, m2509, t52, w8, 438566, 136, 6002, 445316, 2.3922, 1.0, 418, 2518, a4, 000011
factorial, m31, t100, w2, 777, 321, 19595, 20750, 632.0968, 0.9677, 403, 18, a5, 011010
huffmanCodingEff, m199, t50, w4, 9853, 153, 13851, 25135, 69.603, 0.849, 1874, 239, a3, 000110
insertSort, m108, t50, w4, 2393, 149, 12453, 15072, 115.3056, 0.9444, 1900, 40, a4, 001010
transpose, m149, t50, w2, 5798, 160, 62015, 68857, 416.2081, 0.8993, 903, 40, a4, 101110
mergeSort, m226, t50, w4, 6911, 150, 23118, 30281, 102.292, 0.9336, 1900, 129, a5, 011011
selectSort, m92, t50, w4, 2014, 50, 15008, 17320, 163.1304, 0.9101, 1900, 45, a3, 101111
parg, m2509, t52, w8, 435792, 23, 807, 447717, 0.3216, 1.0, 418, 2518, a5, 111110
minProd, m181, t50, w2, 6753, 161, 15848, 23341, 87.558, 0.8659, 1946, 72, a2, 101111
longestIncrease, m114, t50, w2, 9768, 9500, 130357, 150356, 1143.4825, 0.9196, 1946, 70, a2, 010100
factorial, m31, t100, w2, 1587, 323, 19569, 21537, 631.2581, 0.9677, 403, 18, a2, 010000
squareMatrix, m182, t50, w8, 4692, 21, 10317, 15818, 56.6868, 1.0, 903, 72, a2, 101110
mergeSort, m226, t50, w2, 10213, 157, 68059, 79139, 301.146, 0.9336, 1900, 129, a3, 111111
factorial, m31, t100, w2, 1622, 322, 19490, 21494, 628.7097, 0.9677, 403, 18, a5, 111001
huffmanCodingEff, m199, t50, w2, 14829, 162, 40502, 56746, 203.5276, 0.849, 1874, 239, a2, 010110
mergeSort, m226, t50, w2, 10159, 156, 68095, 78499, 301.3053, 0.9336, 1900, 129, a3, 010011
genPassword, m49, t100, w2, 1477, 313, 5519, 7367, 112.6327, 0.8367, 398, 63, a2, 010011
factorial, m31, t100, w2, 775, 314, 19660, 21017, 634.1935, 0.9677, 403, 18, a2, 001110
squareMatrix, m182, t50, w8, 4916, 129, 10369, 15494, 56.9725, 1.0, 903, 72, a2, 010010
anagram, m60, t100, w2, 1568, 314, 8136, 10078, 135.6, 0.8667, 1370, 37, a3, 000010
parg, m2509, t52, w4, 428558, 160, 2613, 434939, 1.0415, 1.0, 418, 2518, a2, 010111
mergeSort, m226, t50, w2, 10202, 167, 68264, 78725, 302.0531, 0.9336, 1900, 129, a3, 101010
insertSort, m108, t50, w4, 2347, 149, 12333, 14904, 114.1944, 0.9444, 1900, 40, a3, 000010
transpose, m149, t50, w2, 5828, 161, 62244, 68322, 417.745, 0.8993, 903, 40, a5, 100011
mergeSort, m226, t50, w4, 6985, 160, 22987, 30592, 101.7124, 0.9336, 1900, 129, a2, 010111
mergeSort, m226, t50, w4, 6918, 146, 22875, 30039, 101.2168, 0.9336, 1900, 129, a2, 011011
factorial, m31, t100, w2, 780, 314, 19570, 20855, 631.2903, 0.9677, 403, 18, a3, 011111
bubbleSort, m113, t50, w4, 2525, 156, 77071, 80000, 682.0442, 0.9182, 1900, 41, a3, 011111
selectSort, m92, t50, w2, 3068, 169, 39922, 43744, 433.9348, 0.9101, 1900, 45, a3, 101110
huffmanCoding, m314, t50, w8, 18773, 126, 15336, 35780, 48.8408, 0.9279, 1874, 318, a3, 010110
mergeSort, m226, t50, w2, 10516, 163, 69012, 81105, 305.3628, 0.9336, 1900, 129, a4, 000110
insertSort, m108, t50, w4, 2376, 51, 12342, 14959, 114.2778, 0.9444, 1900, 40, a3, 101111
factorial, m31, t100, w8, 499, 286, 5081, 5929, 163.9032, 0.9677, 403, 18, a3, 001010
selectSort, m92, t50, w8, 2011, 147, 5868, 8222, 63.7826, 0.9101, 1900, 45, a2, 001111
parg, m2509, t52, w8, 432284, 21, 271, 434326, 0.108, 1.0, 418, 2518, a5, 101111
parg, m2509, t52, w4, 424931, 59, 2583, 431395, 1.0295, 1.0, 418, 2518, a3, 110111
transpose, m149, t50, w2, 5795, 159, 62377, 68420, 418.6376, 0.8993, 903, 40, a5, 001010
bubbleSort, m113, t50, w2, 3681, 159, 214875, 219498, 1901.5487, 0.9182, 1900, 41, a3, 001110
factorial, m31, t100, w2, 1584, 322, 19565, 21534, 631.129, 0.9677, 403, 18, a5, 100001
parg, m2509, t52, w8, 434711, 20, 812, 446936, 0.3236, 1.0, 418, 2518, a3, 101110
bubbleSort, m113, t50, w4, 2525, 50, 77044, 79858, 681.8053, 0.9182, 1900, 41, a3, 101111
minProd, m181, t50, w4, 4368, 157, 5354, 9955, 29.5801, 0.7845, 1946, 72, a5, 000010
