file name, mutants, tests, cores, compilation time, original time, mutants time, total time, time per mutant, mutation score, ts size, lines, algorithm, optimizations
anagram, m60, t100, w2, 1570, 324, 7927, 9877, 132.1167, 0.8667, 1370, 37, a5, 111011
huffmanCodingEff, m199, t50, w4, 10467, 45, 13749, 24642, 69.0905, 0.849, 1874, 239, a2, 110111
massive, m49, t60, w4, 673, 38308, 124368, 163395, 2538.1224, 0.9388, 169, 13, a3, 100010
selectSort, m92, t50, w2, 3046, 163, 39950, 43744, 434.2391, 0.9101, 1900, 45, a2, 011110
factorial, m31, t100, w2, 1581, 313, 19495, 21450, 628.871, 0.9677, 403, 18, a5, 001000
insertSort, m108, t50, w2, 3641, 162, 36910, 40787, 341.7593, 0.9444, 1900, 40, a2, 001011
primes, m68, t100, w8, 3328, 37, 418, 3885, 6.1471, 0.8333, 398, 30, a5, 101101
add, m12, t100, w2, 280, 319, 356, 1082, 29.6667, 0.9167, 583, 13, a3, 011110
insertSort, m108, t50, w8, 7604, 132, 11231, 19045, 103.9907, 0.9444, 1900, 40, a4, 011000
anagram, m60, t100, w8, 1022, 39, 5001, 6398, 83.35, 0.9286, 1370, 37, a3, 110110
minProd, m181, t50, w4, 4368, 157, 5354, 9955, 29.5801, 0.7845, 1946, 72, a5, 000010
maxArrSumNeg, m112, t50, w4, 7732, 50, 21727, 29585, 193.9911, 0.9107, 1910, 63, a4, 101001
factorial, m31, t100, w4, 1564, 297, 7036, 8955, 226.9677, 0.9677, 403, 18, a2, 010001
massive, m49, t60, w2, 1952, 110934, 160313, 273412, 3271.6939, 1.0, 169, 13, a5, 111101
primes, m68, t100, w2, 1763, 316, 7292, 9431, 107.2353, 0.75, 398, 30, a2, 101011
parg, m2509, t52, w8, 433917, 20, 816, 435351, 0.3252, 1.0, 418, 2518, a3, 111011
huffmanCoding, m314, t50, w4, 53661, 51, 34129, 88019, 108.6911, 0.9013, 1874, 318, a2, 101000
bubbleSort, m113, t50, w2, 3691, 163, 147254, 151630, 1303.1327, 0.8696, 1900, 41, a5, 101111
parg, m2509, t52, w4, 533303, 170, 2580, 536654, 1.0283, 1.0, 418, 2518, a2, 010000
selectSort, m92, t50, w8, 6115, 22, 5867, 12080, 63.7717, 0.8804, 1900, 45, a2, 101000
maxArrSumNeg, m112, t50, w2, 7797, 162, 65459, 73491, 584.4554, 0.9107, 1910, 63, a4, 001001
huffmanCodingEff, m199, t50, w4, 29519, 151, 37442, 68349, 188.1508, 0.849, 1874, 239, a4, 010100
huffmanCodingEff, m199, t50, w2, 14793, 162, 40510, 56735, 203.5678, 0.849, 1874, 239, a3, 010110
factorial, m31, t100, w8, 1474, 272, 10010, 11819, 322.9032, 0.9677, 403, 18, a4, 001000
insertSort, m108, t50, w8, 2405, 148, 6296, 8928, 58.2963, 0.9444, 1900, 40, a3, 010011
add, m12, t100, w4, 169, 99, 301, 631, 25.0833, 0.9167, 583, 13, a5, 111010
insertSort, m108, t50, w8, 6916, 148, 6331, 13863, 58.6204, 0.9444, 1900, 40, a3, 010100
genPassword, m49, t100, w4, 990, 98, 2027, 3260, 41.3673, 0.8367, 398, 63, a2, 101111
add, m12, t100, w8, 609, 42, 66, 840, 5.5, 0.9167, 583, 13, a4, 110100
minProd, m181, t50, w8, 4441, 23, 9228, 13765, 50.9834, 0.7845, 1946, 72, a4, 110011
